ano_base,Fase_num,IDA_faixa,IEG_faixa,IPS_faixa,IPP_faixa,n,inde_medio
2023,2,Q2,Q4_alto,Q1_baixo,Q2,3,7.143666666666667
2023,2,Q2,Q4_alto,Q1_baixo,Q3,1,7.1392
2023,2,Q2,Q4_alto,Q1_baixo,Q4_alto,8,7.461245833125
2023,2,Q2,Q4_alto,Q2,Q1_baixo,0,
2023,2,Q2,Q4_alto,Q2,Q2,0,
2023,2,Q2,Q4_alto,Q2,Q3,0,
2023,2,Q2,Q4_alto,Q2,Q4_alto,2,8.671700000000001
2023,2,Q2,Q4_alto,Q3,Q1_baixo,0,
2023,2,Q2,Q4_alto,Q3,Q2,0,
2023,2,Q2,Q4_alto,Q3,Q3,0,
2023,2,Q2,Q4_alto,Q3,Q4_alto,0,
2023,2,Q2,Q4_alto,Q4_alto,Q1_baixo,0,
2023,2,Q2,Q4_alto,Q4_alto,Q2,0,
2023,2,Q2,Q4_alto,Q4_alto,Q3,0,
2023,2,Q2,Q4_alto,Q4_alto,Q4_alto,0,
2023,2,Q3,Q1_baixo,Q1_baixo,Q1_baixo,0,
2023,2,Q3,Q1_baixo,Q1_baixo,Q2,0,
2023,2,Q3,Q1_baixo,Q1_baixo,Q3,0,
2023,2,Q3,Q1_baixo,Q1_baixo,Q4_alto,0,
2023,2,Q3,Q1_baixo,Q2,Q1_baixo,1,5.612
2023,2,Q3,Q1_baixo,Q2,Q2,0,
2023,2,Q3,Q1_baixo,Q2,Q3,1,5.954666667
2023,2,Q3,Q1_baixo,Q2,Q4_alto,0,
2023,2,Q3,Q1_baixo,Q3,Q1_baixo,0,
2023,2,Q3,Q1_baixo,Q3,Q2,0,
2023,2,Q3,Q1_baixo,Q3,Q3,0,
2023,2,Q3,Q1_baixo,Q3,Q4_alto,0,
2023,2,Q3,Q1_baixo,Q4_alto,Q1_baixo,0,
2023,2,Q3,Q1_baixo,Q4_alto,Q2,0,
2023,2,Q3,Q1_baixo,Q4_alto,Q3,0,
2023,2,Q3,Q1_baixo,Q4_alto,Q4_alto,0,
2023,2,Q3,Q2,Q1_baixo,Q1_baixo,2,6.6401
2023,2,Q3,Q2,Q1_baixo,Q2,0,
2023,2,Q3,Q2,Q1_baixo,Q3,3,7.5187
2023,2,Q3,Q2,Q1_baixo,Q4_alto,5,7.260826666599999
2023,2,Q3,Q2,Q2,Q1_baixo,1,7.1472
2023,2,Q3,Q2,Q2,Q2,1,6.733566667
2023,2,Q3,Q2,Q2,Q3,0,
2023,2,Q3,Q2,Q2,Q4_alto,1,6.6552
2023,2,Q3,Q2,Q3,Q1_baixo,0,
2023,2,Q3,Q2,Q3,Q2,0,
2023,2,Q3,Q2,Q3,Q3,0,
2023,2,Q3,Q2,Q3,Q4_alto,0,
2023,2,Q3,Q2,Q4_alto,Q1_baixo,0,
2023,2,Q3,Q2,Q4_alto,Q2,3,7.592333333333333
2023,2,Q3,Q2,Q4_alto,Q3,0,
2023,2,Q3,Q2,Q4_alto,Q4_alto,1,8.6067
